Proposal Data:  V1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposal Date:,,,12/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type:,,,Before Tax ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner Sector:,,,Commercial ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Income Tax Rate:,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Income Tax Rate:,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount Rate:,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Escalation Rate:,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposal Summary Table,,,IRR - Term,LCOE PV Generation,Net Present Value,Payback Period,Total Payments,Total Incentives,Net Payments,Electric Bill Savings - Term,Upfront Payment ,,,,,,,,,,,,,,,,,,,,,,,,
Cash Purchase,,,0.2109,-0.0001,2498890.213,3.5261,2564908.8,2567617.297,-2708.497,5846529.625,2564908.8,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility 1 Data:  Meter #1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Cost and Utility Data,,,,,Solar PV System Data,,,,,Energy Storage System Data,,,,,FacilityLocation,,,,,Rate Schedules ,,,,,,,,,,,,,,,
Total Project Cost,,,2564908.8,,Solar PV System Data,,,2564908.8,,Energy Storage System Data,,,0,,Street 1,,,2200 W Central Rd,,Utility,,,Commonwealth Edison ,,,,,,,,,,,,
Total Incentive Savings,,,2567617.297,,Net System Cost,,,-2708.497,,Net System Cost,,,0,,Street 2,,,-,,Current Rate Schedule,,,R75 - Hoffman Estates - Bystronic (New Supply Contract) (Effective Date: 7/26/21) ,,,,,,,,,,,,
Net Project Cost,,,-2708.497,,Power Rating (kW-DC),,,1440.96,,Total Energy Capacity (kWh),,,0,,City,,,Hoffman Estates,,New Rate Schedule,,,R75 - Hoffman Estates - Bystronic (New Supply Contract) (Effective Date: 7/26/21) ,,,,,,,,,,,,
